,cases
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,5.0
2020-03-15,22.0
2020-03-22,220.0
2020-03-29,995.0
2020-04-05,2378.0
2020-04-12,4608.0
2020-04-19,4622.0
2020-04-26,5734.0
2020-05-03,6881.0
2020-05-10,7125.0
2020-05-17,6217.0
2020-05-24,7509.0
2020-05-31,6465.0
2020-06-07,5195.0
2020-06-14,3728.0
2020-06-21,2605.0
2020-06-28,2471.0
2020-07-05,2855.0
2020-07-12,3477.0
2020-07-19,5022.0
2020-07-26,5617.0
2020-08-02,6526.0
2020-08-09,5229.0
2020-08-16,4709.0
2020-08-23,3890.0
2020-08-30,3689.0
2020-09-06,4328.0
2020-09-13,3991.0
2020-09-20,4046.0
2020-09-27,3247.0
2020-10-04,3887.0
2020-10-11,4067.0
2020-10-18,4300.0
2020-10-25,4622.0
2020-11-01,5866.0
2020-11-08,7851.0
2020-11-15,11934.0
2020-11-22,16209.0
2020-11-29,14308.0
2020-12-06,18580.0
2020-12-13,19620.0
2020-12-20,16161.0
2020-12-27,16390.0
2021-01-03,18121.0
2021-01-10,21355.0
2021-01-17,19771.0
2021-01-24,15007.0
2021-01-31,13021.0
2021-02-07,9177.0
2021-02-14,7333.0
2021-02-21,5372.0
2021-02-28,5744.0
2021-03-07,5220.0
2021-03-14,6122.0
2021-03-21,6582.0
2021-03-28,8021.0
2021-04-04,9285.0
2021-04-11,9401.0
2021-04-18,9298.0
2021-04-25,7229.0
2021-05-02,5732.0
2021-05-09,4136.0
2021-05-16,2879.0
2021-05-23,2288.0
2021-05-30,1485.0
2021-06-06,798.0
2021-06-13,690.0
2021-06-20,474.0
2021-06-27,405.0
2021-07-04,452.0
2021-07-11,590.0
2021-07-18,1011.0
2021-07-25,1752.0
2021-08-01,3146.0
2021-08-08,4874.0
2021-08-15,5983.0
2021-08-22,7016.0
2021-08-29,8014.0
2021-09-05,8052.0
2021-09-12,7509.0
2021-09-19,8554.0
2021-09-26,8707.0
2021-10-03,8445.0
2021-10-10,7970.0
2021-10-17,6331.0
2021-10-24,5533.0
2021-10-31,5187.0
2021-11-07,4812.0
2021-11-14,5543.0
2021-11-21,6394.0
2021-11-28,6118.0
2021-12-05,9539.0
2021-12-12,9241.0
2021-12-19,17858.0
2021-12-26,46512.0
2022-01-02,79718.0
2022-01-09,99523.0
2022-01-16,72439.0
2022-01-23,37671.0
2022-01-30,19607.0
2022-02-06,10902.0
2022-02-13,6081.0
2022-02-20,4908.0
2022-02-27,3754.0
2022-03-06,2649.0
2022-03-13,2097.0
2022-03-20,2104.0
2022-03-27,1982.0
2022-04-03,1635.0
2022-04-10,3001.0
2022-04-17,4129.0
2022-04-24,5433.0
2022-05-01,6613.0
2022-05-08,8243.0
2022-05-15,12162.0
2022-05-22,16083.0
2022-05-29,15403.0
2022-06-05,12506.0
2022-06-12,11488.0
2022-06-19,10006.0
2022-06-26,8691.0
2022-07-03,10229.0
2022-07-10,9127.0
2022-07-17,11317.0
2022-07-24,11161.0
2022-07-31,11483.0
2022-08-07,11005.0
2022-08-14,10930.0
2022-08-21,8977.0
2022-08-28,7998.0
2022-09-04,7221.0
2022-09-11,6287.0
2022-09-18,6912.0
2022-09-25,6012.0
2022-10-02,5285.0
2022-10-09,4633.0
2022-10-16,4148.0
2022-10-23,4466.0
2022-10-30,4461.0
2022-11-06,4835.0
2022-11-13,3983.0
2022-11-20,4800.0
2022-11-27,2818.0
2022-12-04,6682.0
2022-12-11,6234.0
2022-12-18,6737.0
2022-12-25,7569.0
2023-01-01,6836.0
2023-01-08,7465.0
2023-01-15,7396.0
2023-01-22,4880.0
2023-01-29,5931.0
2023-02-05,4421.0
2023-02-12,4534.0
2023-02-19,4010.0
2023-02-26,3249.0
2023-03-05,2941.0
2023-03-12,2236.0
