,cases
2020-01-25,1.0
2020-02-01,6.0
2020-02-08,4.0
2020-02-15,2.0
2020-02-22,2.0
2020-02-29,9.0
2020-03-07,378.0
2020-03-14,2575.0
2020-03-21,23047.0
2020-03-28,101392.0
2020-04-04,196923.0
2020-04-11,221353.0
2020-04-18,198164.0
2020-04-25,205783.0
2020-05-02,192979.0
2020-05-09,175739.0
2020-05-16,155448.0
2020-05-23,153586.0
2020-05-30,145391.0
2020-06-06,149650.0
2020-06-13,148785.0
2020-06-20,182855.0
2020-06-27,260232.0
2020-07-04,336588.0
2020-07-11,404294.0
2020-07-18,453422.0
2020-07-25,462065.0
2020-08-01,435247.0
2020-08-08,388787.0
2020-08-15,391741.0
2020-08-22,301770.0
2020-08-29,290576.0
2020-09-05,286889.0
2020-09-12,244796.0
2020-09-19,290320.0
2020-09-26,293916.0
2020-10-03,300773.0
2020-10-10,334603.0
2020-10-17,388624.0
2020-10-24,485474.0
2020-10-31,572162.0
2020-11-07,777428.0
2020-11-14,1028914.0
2020-11-21,1205675.0
2020-11-28,1181342.0
2020-12-05,1368531.0
2020-12-12,1513041.0
2020-12-19,1553006.0
2020-12-26,1365258.0
2021-01-02,1500475.0
2021-01-09,1733230.0
2021-01-16,1561781.0
2021-01-23,1222853.0
2021-01-30,1056650.0
2021-02-06,851488.0
2021-02-13,659843.0
2021-02-20,473842.0
2021-02-27,482933.0
2021-03-06,423908.0
2021-03-13,380130.0
2021-03-20,386441.0
2021-03-27,431725.0
2021-04-03,459857.0
2021-04-10,479845.0
2021-04-17,478568.0
2021-04-24,413947.0
2021-05-01,349163.0
2021-05-08,293592.0
2021-05-15,236722.0
2021-05-22,180812.0
2021-05-29,145539.0
2021-06-05,101879.0
2021-06-12,98924.0
2021-06-19,80728.0
2021-06-26,86666.0
2021-07-03,91045.0
2021-07-10,134043.0
2021-07-17,223088.0
2021-07-24,363979.0
2021-07-31,554161.0
2021-08-07,778862.0
2021-08-14,911735.0
2021-08-21,1047678.0
2021-08-28,1088180.0
2021-09-04,1153281.0
2021-09-11,1041459.0
2021-09-18,1021721.0
2021-09-25,834482.0
2021-10-02,759422.0
2021-10-09,667158.0
2021-10-16,589510.0
2021-10-23,512247.0
2021-10-30,506191.0
2021-11-06,516295.0
2021-11-13,569444.0
2021-11-20,647456.0
2021-11-27,505935.0
2021-12-04,848599.0
2021-12-11,832418.0
2021-12-18,911995.0
2021-12-25,1373182.0
2022-01-01,2875294.0
2022-01-08,4975905.0
2022-01-15,5648740.0
2022-01-22,5035610.0
2022-01-29,3747626.0
2022-02-05,2106639.0
2022-02-12,1259908.0
2022-02-19,727898.0
2022-02-26,464425.0
2022-03-05,329172.0
2022-03-12,245135.0
2022-03-19,215105.0
2022-03-26,210000.0
2022-04-02,198717.0
2022-04-09,243938.0
2022-04-16,234353.0
2022-04-23,343509.0
2022-04-30,379813.0
2022-05-07,519565.0
2022-05-14,578420.0
2022-05-21,811696.0
2022-05-28,714612.0
2022-06-04,772984.0
2022-06-11,734931.0
2022-06-18,731145.0
2022-06-25,707768.0
2022-07-02,815270.0
2022-07-09,733005.0
2022-07-16,946258.0
2022-07-23,862048.0
2022-07-30,938061.0
2022-08-06,782948.0
2022-08-13,807615.0
2022-08-20,599061.0
2022-08-27,662053.0
2022-09-03,551318.0
2022-09-10,495719.0
2022-09-17,409750.0
2022-09-24,402920.0
2022-10-01,326037.0
2022-10-08,301251.0
2022-10-15,251041.0
2022-10-22,259175.0
2022-10-29,262273.0
2022-11-05,286262.0
2022-11-12,262380.0
2022-11-19,312390.0
2022-11-26,260177.0
2022-12-03,410864.0
2022-12-10,446748.0
2022-12-17,480581.0
2022-12-24,472188.0
2022-12-31,390378.0
2023-01-07,501799.0
2023-01-14,375204.0
2023-01-21,354555.0
2023-01-28,278015.0
2023-02-04,329036.0
2023-02-11,255568.0
2023-02-18,275095.0
2023-02-25,246552.0
2023-03-04,269680.0
2023-03-11,155727.0
