date,observed,counterfactual,avoided_cases,counterfactual_lower,counterfactual_upper
2020-01-25,1.0,1.0,0.0,1.0,1.0
2020-02-01,6.0,6.0,0.0,6.0,6.0
2020-02-08,4.0,4.0,0.0,4.0,4.0
2020-02-15,2.0,2.0,0.0,2.0,2.0
2020-02-22,2.0,2.0,0.0,2.0,2.0
2020-02-29,9.0,9.0,0.0,9.0,9.0
2020-03-07,378.0,378.0,0.0,378.0,378.0
2020-03-14,2575.0,2575.0,0.0,2575.0,2575.0
2020-03-21,23047.0,2575.0,0.0,2575.0,2575.0
2020-03-28,101392.0,6079.598991771526,0.0,4450.65689446316,8560.428291479795
2020-04-04,196923.0,14353.989864368677,0.0,7692.574588032218,28458.62246897362
2020-04-11,221353.0,33889.90380866583,0.0,13295.970085371026,94608.9834052367
2020-04-18,198164.0,80014.37865102864,0.0,22981.00673610016,314521.97832589096
2020-04-25,205783.0,188914.69350447328,0.0,39720.87185791974,1045610.0360661866
2020-05-02,192979.0,446029.3515186886,253050.3515186886,68654.52887736777,3476070.7676630057
2020-05-09,175739.0,1053079.4546770975,877340.4546770975,118664.35987453272,11556001.731233502
2020-05-16,155448.0,2486330.4042369663,2330882.4042369663,205103.0391850594,38417288.56868255
2020-05-23,153586.0,5870249.25002328,5716663.25002328,354506.80047651066,127716187.12834002
2020-05-30,145391.0,13859713.173549157,13714322.173549157,612742.0993545697,424585641.0844242
2020-06-06,149650.0,32722911.93636972,32573261.93636972,1059086.7607677856,1411512683.9069493
2020-06-13,148785.0,77259099.96744929,77110314.96744929,1830568.6571702368,4692501193.066174
2020-06-20,182855.0,182409454.86107948,182226599.86107948,3164034.16277911,15599982928.581226
2020-06-27,260232.0,430670422.47107303,430410190.47107303,5468861.9366953615,51861369340.58027
2020-07-04,336588.0,1016816880.0935727,1016480292.0935727,9452646.212758569,172410599407.43326
2020-07-11,404294.0,2400714127.7798667,2400309833.7798667,16338436.376767188,573170816491.7493
2020-07-18,453422.0,5668108423.604716,5667655001.604716,28240229.202810127,1905479602726.2183
2020-07-25,462065.0,13382456798.989859,13381994733.989859,48811997.06435622,6334679770385.97
2020-08-01,435247.0,31596105189.34555,31595669942.34555,84369517.24238901,21059359274300.242
2020-08-08,388787.0,74598698739.04935,74598309952.04935,145829428.941788,70010917583673.734
2020-08-15,391741.0,176128222773.3566,176127831032.3566,252060854.74910113,232748297871369.3
2020-08-22,301770.0,415840374988.50806,415840073218.50806,435678619.3589201,773761979512649.1
2020-08-29,290576.0,981802999812.8247,981802709236.8247,753056739.5105194,2572340094334800.5
2020-09-05,286889.0,2318046030205.9507,2318045743316.9507,1301636610.9261773,8551642113235755.0
2020-09-12,244796.0,5472928274998.085,5472928030202.085,2249844023.075912,2.8429601832776144e+16
2020-09-19,290320.0,12921634649598.521,12921634359278.521,3888800464.0711875,9.451313463269784e+16
2020-09-26,293916.0,30508099801063.723,30508099507147.723,6721705785.064707,3.142054311511204e+17
2020-10-03,300773.0,72029907880160.2,72029907579387.2,11618335768.977654,1.0445646850910505e+18
2020-10-10,334603.0,170063283621599.0,170063283286996.0,20082090882.02357,3.472618876083672e+18
2020-10-17,388624.0,401520997143000.75,401520996754376.75,34711590108.297745,1.1544603879233917e+19
2020-10-24,485474.0,947994815303181.1,947994814817707.1,59998537002.976746,3.837965640095905e+19
2020-10-31,572162.0,2238224591581299.5,2238224591009137.5,103706834787.40327,1.2759194602283329e+20
2020-11-07,777428.0,5284469114693548.0,5284469113916120.0,179256395972.60577,4.2417549298012815e+20
2020-11-14,1028914.0,1.247668081620922e+16,1.2476680815180306e+16,309843578172.66644,1.410158789146342e+21
2020-11-21,1205675.0,2.945755965471092e+16,2.9457559653505244e+16,535563402086.43463,4.688032326804851e+21
2020-11-28,1181342.0,6.954957280653587e+16,6.954957280535453e+16,925720397233.3911,1.5585233421770638e+22
2020-12-05,1368531.0,1.6420718940301235e+17,1.642071894016438e+17,1600108083007.0703,5.181269223404537e+22
2020-12-12,1513041.0,3.876947041305588e+17,3.8769470412904576e+17,2765790913372.4385,1.722499650146839e+23
2020-12-19,1553006.0,9.15350808678564e+17,9.15350808677011e+17,4780682567733.745,5.726407647880113e+23
2020-12-26,1365258.0,2.1611517877900744e+18,2.161151787788709e+18,8263442363065.657,1.903730709769064e+24
2021-01-02,1500475.0,5.102499506840292e+18,5.102499506838792e+18,14283433730575.74,6.328909809382596e+24
2021-01-09,1733230.0,1.2047048876621797e+19,1.2047048876620065e+19,24689072187262.13,2.104032455290931e+25
